기간,마커스 매출,전기자전거 수입금액,자전거 수입금액
2020,,1498억,2040억
2021,,2183억,2290억
2022,15.6억,2280억,2700억
2023,18.6억,1978억,2100억
2024,31.1억,1700억,1600억
2025,80억,2072억,2088억
