date,gender,height,weight,rating,review_text
25.10.07.,,,,5,"합리적인 가격이라 품질에 대한 의문이 있었습니다.
기우에 불과했네요. 진짜 취미용으로 집앞 커피숍 가는용도로 딱 알맞습니다. 가벼워서 부담도 없고 좋습니다."
25.10.06.,,,,5,"가격대비 너무 좋아요!!
디자인은 말할것도 없고~"
25.10.06.,,161cm,50kg,5,"어릴때 타보고 오랜만이어서 살짝 겁나가도 했는데 막상 차보니 괜찮았어요.
자전거 디자인도 예쁘고 잘나갑니다."
25.10.05.,,,,5,자전거 예쁘고 마음에 들어요. 배송 엄청 빠르게 해주셔서 감사합니다:)
25.10.05.,여성,160cm,53kg,5,한달동안 출퇴근시 타봤는데 너무 좋아요. 바퀴가 작아서 엘베탈때 눈치가 덜보이네요ㅋ
25.10.05.,,,,5,베이지 블랙 샀는데 완조립 편하고ㅠ좋아여
25.10.05.,남성,169cm,64kg,5,두번째 구매중입니다. 잘쓰겠습니다.
25.10.02.,,173cm,76kg,5,"선택안함
빠른 배송 감사합니다."
25.10.02.,,,,3,"더워서 아직 원하는 만큼 타보지 못했는데 접을 수 있다는 것, 가격 면에서 만족."
25.09.30.,,,,5,너무 좋아요 최고에요 최고
25.09.30.,남성,171cm,62kg,5,디자인 외관 실용성 최고입니다
25.09.29.,,,,5,배송이 매우 빠르네요. 아직 타보진 않았지만 이쁘네요. 로드가 있는데 10여년전 티티카카 구매했던 기억이 좋아 다른 브랜드 고민없이 마실용으로 구매하였습니다. 스크레치 걱정했는데 프레임 매우 깨끗합니다.
25.09.29.,남성,168cm,68kg,5,아이 첫 자전거로 딱 좋은 미니벨로
25.09.28.,,,,4,가격대비 좋아요  타이어폭이 넗어서 안전해요
25.09.27.,여성,,,5,성인 여성인데 데일리로 타기 너무 좋네요!! 승차감 좋고 무엇보다 제가 알아본 비슷한 가격대 접이식 자전거 중 가벼운 편이라 더 편해요. 색상도 이벤트가로 구매했는데 예뻐서 더욱 만족합니다!!
25.09.27.,여성,157cm,39kg,5,"색도 예쁘구 잘산듯합니다
질문에 답변도 금방해주셔서 
잘 안됐던 것도 금방 해결됐어요"
25.09.26.,남성,168cm,,5,조아모 감사합니다 두고사버ㅡ둔소좇 궅
25.09.25.,,,,5,미루고 미루다 씁니다. 자전거 잘 쓰고 있습니다
25.09.25.,,,,5,너무좋아여 최고최고
25.09.25.,,,,4,"조립으로 주문했는데
브레이크가 잘 안맞아서 샵에서 다시 셋팅했어요"
25.09.24.,남성,,,5,"신랑이랑 함께자전거 타려구 구매했어요~
디자인. 색상 모두맘에들어요
접이식이라 차량에 싣고다니기 편하네요!!"
25.09.24.,,,,5,"배송 엄청 빠름!!!
비가와서 아직 못타봤지만 색상 디자인 모두 맘에드네요!"
25.09.23.,남성,187cm,75kg,5,"딸아이용으로 샀고 솔직히 고민이많았어요
하지만 140키의 운동신경제로인 딸도 정말만족하고
타고있어요
정신건강에 좋으려면 반조립도다는 
완조립으로 추천 브레이크 때문에 조금 고생했네요
탁월한 선택 후회하지 않네요
제꺼도 구매예정"
25.09.23.,남성,168cm,75kg,4,배송도 빠르고  물건도 크기도  마음에 듭니다  앞으로 타보면   알겠죠  바퀴 크기도 적당합니다 출퇴근용으로 도움이 많이 될거 같아요
25.09.23.,남성,169cm,64kg,5,동네 마실용으로 샀는데 살짝 무거운거 빼고는 아주 만족하면서 잘 타고 있습니다. 7단기어라 생각보다 치고나가는 속도가 아쉽긴 하지만 만족합니다. 많이파세요.
25.09.22.,,,,5,아이도 잘타고 좋아하네요ㅎ
25.09.21.,,,,5,배송도 빠르고 제품도 좋아요
25.09.21.,남성,172cm,70kg,5,"접었을 때 부피가 작아서 넘 좋아요
무게도 가벼운 편이고 접이식 치고는 속도도 준수합니다."
25.09.19.,,175cm,60kg,5,"늦게받았지만 자전거는 맘에들어요♡
  바퀴가 작다보니 아무래도 발을 많이굴려야하는건 있고 언덕도 여자인저에겐 쉽지않지만 
디자인도좋고 평지에서 너무잘굴러가고.산책마실용으로딱입니다."
25.09.19.,여성,161cm,55kg,4,도보 20분 출퇴근을 자전거로 하려구 지인 추천으로 구매했어요 아직 타보지는 않고 인증샷 먼저 올려요~ 낼 집앞 공원에서 타바야겠어요 디자인은 모 괜찮네요👍
25.09.19.,,,,5,색상 이쁘고 좋아요 미니벨로가 좋아서 티티카카만 3대째에요
25.09.19.,,,,4,딸아이 사줬는데 맘에 든다고 하네요
25.09.19.,,,,5,자출하는데 개꿀입니다 잘 나가네요
25.09.19.,남성,175cm,72kg,5,자전거는 최고에요. 타기편하고 굿에요
25.09.19.,남성,163cm,52kg,5,만족합니다.  좋아요
25.09.18.,남성,169cm,76kg,5,배송이 빨라요 조립이 어렵지 않아요
25.09.17.,여성,160cm,53kg,5,타보니 너무 괜찮아서 추가 구매했어요.
25.09.17.,,,,5,쭉쭉 잘 나가고 좋아요. 디자인도 예뻐요. 만족합니다👍
25.09.17.,남성,177cm,70kg,5,가성비 최고 색감 최고 주행감 좋고 나이스
25.09.17.,,,,5,"잘 받았습니다
감사해요"
25.09.17.,,180cm,68kg,5,"잘 받았습니다
감사해요"
25.09.16.,남성,175cm,72kg,4,"자전거는 좋은데, 녹자국이 나사 한곳에서 발견되었으나 포장을 다 뜯어서 그냥탑니다. 자전거는 괜찮아요"
25.09.16.,,,,5,저렴한 느낌 없고 잘 만들어져서 오래 탈 수 있을 것 같네요
25.09.16.,남성,175cm,72kg,5,가성비 좋아요 편하게 타기좋아요
25.09.15.,,,,5,가격대비 만족도가 높아요 접는것두 편리하고 자전거로써 갖출건 다갖췄어요 잘나가고 높이조절도 그렇고 여러모로 편리하고 컴팩트합니다
25.09.14.,여성,163cm,50kg,5,사이즈 색상 친절한 응대까지 최고입니다
25.09.13.,,,,5,"튼튼하고 안정적이면서 승차감이 좋고 가성비가 좋아서, 입문용 미니벨로로 최고입니다~!"
25.09.13.,,171cm,81kg,5,가성비 짱... 스타일 좋구요 좋아요 ~
25.09.13.,,,,5,자전거가 예쁘고 가성비있네요!
25.09.11.,,,,5,"초등학교 5학년 남자아이용으로 샀는데 어른인 제가 시험삼아 타도 잘나가네요
안장높이만 조절해가면서 계속 잘탈거같네요"
25.09.11.,남성,175cm,79kg,5,튼튼하고 잘 나가고 잘섭니다
25.09.10.,,,,5,중학생 아이용으로 구매했는데요. 가볍고 접이식부분이 견고해서 좋습니다.
25.09.09.,여성,154cm,54kg,5,반조립으로 주문했는데 특별히 조정할 건 없었고 타이어에 공기만 주입하면 됐어요. 색깔도 이쁘고 만족합니다.
25.09.09.,남성,165cm,64kg,5,"필요한 자전거였는데 잘 산것 같습니다..
활개치고 다녀보겠습니다..아자!!"
25.09.09.,남성,171cm,60kg,5,가격대비 훌륭합니다.
25.09.09.,남성,170cm,71kg,5,"생가 보다 자전거 잘 나갑니다!
동네 뿐만 아니라,한강 에서도 현재까지는 크게 무리없이 잘 타고 있습니다!가성비  좋은것 같아요"
25.09.09.,,,,5,어머니가 안전하게 타고계십미다 추천
25.09.08.,남성,177cm,73kg,5,가성비 좋고 편하게 잘타고 있어오ㅡ
25.09.07.,남성,170cm,72kg,5,반조립인데 딱히 조립할게 없고 디자인이 이쁩니다~ 잘타겠습니댱
25.09.07.,,,,5,반조립사도 충분한듯 ㅎㅎ 굿굿 넘조아여 귀여워요
25.09.07.,,,,5,"같이 주문했던 워커 d7에 비하면 완벽합니다.
워커는...하..."
25.09.06.,남성,178cm,82kg,5,클래식 라이트 조립이 약간 힘들었지만 전체적으로 만족합니다.
25.09.06.,,,,5,"자전거를 어려서 타보고 중년이 된 지금타려니 조금 걱정도 되지만 운동으로 천천히 타보려해요.
디자인 이쁘고 가벼워서 타기좋아요."
25.09.06.,,,,5,만족합니다 출퇴근 짱
25.09.06.,여성,,,4,리뷰 달아요. 감사합니다.
25.09.06.,,,,5,가볍고 접으면 차에도 실을수잇어서좋아요.
25.09.05.,,,,5,승차감이 편하고 디자인이 마음에 들어요
25.09.05.,,,,5,예쁘고 튼튼해보입니다
25.09.04.,여성,153cm,48kg,5,타이어때문인지 기존것보다 안정감이있어 좋아요 여자혼자 들기도 버겁지않고요
25.09.04.,남성,172cm,69kg,5,"저도 타고 와이프도 타고
5학년 딸아이도 같이 타고 있어요
좋습니다~! 가족 누구라도 탈 수 있어요!!"
25.09.04.,,,,5,아들이 타기에는 조금 큰 듯 합니다 초3입니다
25.09.03.,남성,,,5,"반조립이라고 했는데 완조립하고 같아요. 부품을 개별로 조립할껀 없고 포장 풀고 제품보호재 제거후 조립만 하면 끝나요.

아쉬운점은
1.높이조절 핸들바가 조금 흔들려요
2.안장은 어느 자전거하고 다름없이 튜닝을 해야 엉덩이가 안 아프고 편하게 탈수 있어요."
25.09.03.,여성,170cm,54kg,5,"진짜 좋아요
1-2시간 타는데 아무문제 없어요
편하고 접이식이라 보관도 굿"
25.09.03.,,,,5,어머니 사드렸는데 좋아하시네요~~
25.09.02.,여성,162cm,52kg,5,잘 접어지고 튼튼합니다 승차감은 사람들 마다 다르겠지만 대체로 만족 하고요 공간 많이 안차지해서 집안에 나두고 있어요
